protein_id,bmrb_id,entity_id,status,error
bmr27783_entity1,27783,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr27784_entity1,27784,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr27872_entity2,27872,2,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr27874_entity2,27874,2,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr30080_entity2,30080,2,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr30638_entity2,30638,2,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr30943_entity1,30943,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50158_entity1,50158,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50256_entity1,50256,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50370_entity1,50370,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50554_entity2,50554,2,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50701_entity1,50701,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51105_entity1,51105,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51176_entity1,51176,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51413_entity1,51413,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51418_entity1,51418,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51480_entity1,51480,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51685_entity1,51685,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51690_entity1,51690,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51755_entity1,51755,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr51894_entity1,51894,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52273_entity1,52273,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52293_entity1,52293,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52296_entity1,52296,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52297_entity1,52297,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52298_entity1,52298,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52300_entity1,52300,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52301_entity1,52301,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52302_entity1,52302,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52305_entity1,52305,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52306_entity1,52306,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52307_entity1,52307,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52310_entity1,52310,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52339_entity1,52339,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52346_entity1,52346,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52376_entity1,52376,1,invalid_sequence,invalid sequence characters: '
bmr52383_entity1,52383,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52394_entity1,52394,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52418_entity1,52418,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr52554_entity1,52554,1,too_large,413 Client Error: Request Entity Too Large for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr5288_entity2,5288,2,failed_retry,500 Server Error: Internal Server Error for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr34225_entity2,34225,2,failed_retry,500 Server Error: Internal Server Error for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr34577_entity2,34577,2,failed_retry,500 Server Error: Internal Server Error for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr34578_entity2,34578,2,failed_retry,500 Server Error: Internal Server Error for url: https://api.esmatlas.com/foldSequence/v1/pdb/
bmr50015_entity1,50015,1,failed_retry,422 Client Error:  for url: https://api.esmatlas.com/foldSequence/v1/pdb/
